elapsed_seconds,heart_rate_bpm
0,94.0
1,94.0
2,94.0
3,92.0
4,93.0
5,93.0
6,94.0
7,94.0
8,94.0
9,94.0
10,94.0
11,94.0
12,94.0
13,94.0
14,94.0
15,95.0
16,94.0
17,94.0
18,94.0
19,94.0
20,94.0
20,94.0
21,94.0
21,94.0
22,94.0
22,94.0
23,94.0
23,94.0
24,94.0
24,94.0
25,94.0
25,94.0
26,94.0
26,94.0
27,94.0
27,94.0
28,94.0
28,94.0
29,94.0
29,94.0
30,94.0
31,94.0
32,94.0
33,93.0
34,93.0
35,93.0
36,93.0
37,93.0
38,92.0
39,92.0
40,92.0
41,92.0
42,92.0
43,92.0
44,92.0
45,95.0
46,95.0
47,92.0
48,92.0
49,92.0
50,92.0
51,92.0
52,92.0
53,91.0
54,89.0
55,91.0
56,91.0
57,91.0
58,91.0
59,91.0
60,90.0
61,90.0
62,90.0
63,90.0
64,90.0
65,90.0
66,90.0
67,91.0
68,90.0
69,90.0
70,91.0
71,91.0
72,91.0
73,91.0
74,91.0
90,91.0
91,92.0
92,92.0
93,92.0
94,92.0
95,92.0
96,93.0
97,93.0
98,93.0
99,93.0
100,93.0
101,93.0
102,93.0
103,93.0
104,90.0
105,92.0
106,92.0
107,92.0
108,92.0
109,92.0
110,92.0
111,92.0
112,92.0
113,92.0
114,92.0
115,92.0
116,92.0
117,92.0
118,92.0
119,92.0
120,92.0
121,92.0
122,92.0
123,92.0
124,92.0
125,92.0
126,92.0
127,91.0
128,91.0
129,91.0
130,91.0
131,91.0
132,91.0
133,91.0
134,91.0
135,91.0
136,91.0
137,91.0
138,91.0
139,91.0
140,91.0
141,91.0
142,91.0
143,91.0
144,91.0
145,91.0
146,91.0
147,91.0
148,91.0
149,91.0
150,91.0
151,91.0
152,92.0
153,92.0
154,92.0
155,92.0
156,92.0
157,92.0
158,92.0
159,92.0
160,92.0
161,92.0
162,92.0
163,92.0
164,92.0
165,91.0
166,91.0
167,91.0
168,91.0
169,91.0
170,91.0
171,91.0
172,91.0
173,91.0
174,91.0
175,91.0
176,91.0
177,91.0
178,91.0
179,91.0
